track,index,heading change,heading change per sec,altitude (ft),speed (kts),speed (mph),alt/speed ratio,vert rate/speed ratio,vert rate per sec
1,11049,2,0.125,2025.0,166.0,191.0,10.602094240837696,10.06282722513089,120.125
1,11057,1,0.0625,2350.0,181.0,208.0,11.298076923076923,5.408653846153846,70.3125
1,11063,1,0.0625,2625.0,199.0,229.0,11.462882096069869,4.707423580786026,67.375
1,11072,21,1.3125,2925.0,218.0,251.0,11.653386454183266,5.031872509960159,78.9375
1,11080,23,1.0454545454545454,3425.0,246.0,283.0,12.102473498233216,5.30035335689046,68.18181818181819
1,11094,1,0.03333333333333333,4225.0,267.0,307.0,13.762214983713354,6.550488599348534,67.03333333333333
1,11103,1,0.058823529411764705,5000.0,265.0,305.0,16.39344262295082,11.242622950819673,201.7058823529412
1,11110,12,0.6666666666666666,6225.0,248.0,285.0,21.842105263157894,12.031578947368422,190.5
1,11117,17,1.0,7000.0,252.0,290.0,24.137931034482758,8.106896551724137,138.2941176470588
1,11128,19,0.95,7675.0,264.0,304.0,25.24671052631579,7.2105263157894735,109.6
1,11136,18,0.9473684210526315,8425.0,275.0,316.0,26.661392405063292,7.699367088607595,128.05263157894737
1,11146,3,0.11538461538461539,9500.0,285.0,328.0,28.963414634146343,7.054878048780488,89.0
1,11168,1,0.022727272727272728,11125.0,298.0,343.0,32.434402332361515,7.355685131195335,57.34090909090909
1,11175,19,0.8636363636363636,12275.0,298.0,343.0,35.78717201166181,8.478134110787172,132.1818181818182
1,11189,0,0.0,13500.0,308.0,354.0,38.13559322033898,6.872881355932203,90.11111111111111
1,11198,25,1.3888888888888888,14100.0,311.0,358.0,39.385474860335194,4.941340782122905,98.27777777777777
1,11207,9,0.42857142857142855,14650.0,328.0,377.0,38.85941644562334,3.580901856763926,64.28571428571429
1,11211,14,0.7368421052631579,15000.0,353.0,406.0,36.94581280788177,3.770935960591133,80.57894736842105
1,11224,0,0.0,15900.0,375.0,432.0,36.80555555555556,5.497685185185185,79.16666666666667
1,11237,0,0.0,17375.0,377.0,434.0,40.034562211981566,6.394009216589862,92.5
1,11249,0,0.0,18675.0,381.0,438.0,42.636986301369866,5.136986301369863,75.0
1,11261,0,0.0,19625.0,398.0,458.0,42.84934497816594,4.366812227074236,66.66666666666667
1,11274,1,0.03333333333333333,20675.0,410.0,472.0,43.80296610169491,4.872881355932203,76.66666666666667
1,11287,0,0.0,21925.0,414.0,476.0,46.0609243697479,4.936974789915967,78.33333333333333
1,11298,1,0.03333333333333333,23025.0,414.0,476.0,48.371848739495796,2.258403361344538,35.833333333333336
1,11310,1,0.03333333333333333,23000.0,414.0,476.0,48.319327731092436,0.052521008403361345,-0.8333333333333334
1,11320,0,0.0,23000.0,414.0,476.0,48.319327731092436,0.25840336134453784,3.967741935483871
1,11330,0,0.0,23125.0,416.0,479.0,48.2776617954071,2.0876826722338206,33.333333333333336
1,11343,0,0.0,24000.0,422.0,486.0,49.382716049382715,3.8580246913580245,62.5
1,11354,1,0.03333333333333333,25000.0,429.0,494.0,50.607287449392715,3.8461538461538463,63.333333333333336
1,11366,0,0.0,25900.0,435.0,501.0,51.69660678642715,3.592814371257485,60.0
1,11379,2,0.06666666666666667,26800.0,443.0,510.0,52.549019607843135,3.492156862745098,59.36666666666667
1,11387,24,1.3333333333333333,27325.0,460.0,529.0,51.65406427221172,3.1587901701323253,92.83333333333333
1,11393,17,1.0,27775.0,471.0,542.0,51.245387453874535,3.011070110701107,96.0
1,11402,17,1.0,28250.0,482.0,555.0,50.9009009009009,2.834234234234234,92.52941176470588
1,11418,5,0.1111111111111111,29400.0,489.0,563.0,52.2202486678508,2.841918294849023,35.55555555555556
1,11432,0,0.0,30250.0,489.0,563.0,53.730017761989345,2.664298401420959,50.0
1,11443,0,0.0,30900.0,491.0,565.0,54.690265486725664,1.6230088495575221,30.566666666666666
1,11453,1,0.041666666666666664,31075.0,496.0,571.0,54.42206654991244,2.140105078809107,50.916666666666664
1,11464,1,0.03333333333333333,32000.0,489.0,563.0,56.83836589698046,3.285968028419183,61.666666666666664
1,11478,0,0.0,32925.0,484.0,557.0,59.1113105924596,3.1867145421903054,59.166666666666664
1,11489,0,0.0,33775.0,481.0,554.0,60.96570397111913,2.8429602888086642,52.5
1,11503,0,0.0,34500.0,481.0,554.0,62.27436823104693,2.211191335740072,40.833333333333336
1,11516,0,0.0,35000.0,485.0,558.0,62.72401433691756,0.8960573476702509,16.666666666666668
1,11528,0,0.0,35000.0,487.0,560.0,62.5,0.0,0.0
1,11541,0,0.0,35000.0,487.0,560.0,62.5,0.0,0.0
1,11554,0,0.0,35000.0,487.0,560.0,62.5,1.1410714285714285,20.612903225806452
1,11567,0,0.0,35650.0,483.0,556.0,64.11870503597122,2.7428057553956835,50.833333333333336
